TagInfo,TaxonName,AgeGroup,Height,Spread,DBH,AddInfo,BatBox,BirdBox,Climate_suitability,Lattitude,Longitude
5,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,137.1, ,,,Moderate,51.49582201,-0.174576128
6,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,133.9, ,,,Moderate,51.4958023,-0.174842058
7,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,139.4, ,,,Moderate,51.49578392,-0.175110511
8,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,116.4, ,,,Moderate,51.49576259,-0.17538459
9,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,139.8, ,,,Moderate,51.49562092,-0.177216218
10,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,123.3, ,,,Moderate,51.49560207,-0.177486015
11,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,121.8, ,,,Moderate,51.4955802,-0.177755856
12,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,130.5, ,,,Moderate,51.49555636,-0.178029493
13,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,131.7, ,,Yes,Moderate,51.49553625,-0.178296437
14,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,124.6, ,,,Moderate,51.49552068,-0.178576655
15,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,114.6, ,,,Moderate,51.49556988,-0.17875836
16,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,122.8, ,,,Moderate,51.49578217,-0.178781001
17,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,115.2, ,Yes,,Moderate,51.49596075,-0.178820095
18,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,102, ,Yes,,Moderate,51.49613269,-0.178856521
19,Platanus occidentalis x orientalis = p. x hispanica,Mature,0,0,88.1, ,,,Moderate,51.49630797,-0.178898427
20,Tilia tomentosa 'Petiolaris',Mature,0,0,50.6, ,,,Not provided,51.49660379,-0.178954197
21,Platanus orientalis,Mature,0,0,107.5, ,,,Not provided,51.49682769,-0.179015167
23,Prunus,Mature,0,0,,Id check,,Yes,Low,51.49564069,-0.178613436
24,Tilia tomentosa 'Petiolaris',Mature,0,0,85, ,Yes,Yes,Not provided,51.49583415,-0.178499332
25,Quercus robur,Mature,0,0,41.8, ,Yes,Yes,Low,51.49622047,-0.178722565
26,Carpinus betulus fastigiata,Semi-mature,0,0,20.9, ,,,Low,51.49682936,-0.178845046
27,Carpinus betulus fastigiata,Mature,0,0,24.8, ,,Yes,Low,51.49660384,-0.178799158
59,Carpinus betulus,Mature,0,0,14.7, ,,,Low,51.4961338,-0.17850755
60,Carpinus betulus,Mature,0,0,11.3, ,,,Low,51.49615416,-0.17841781
61,Carpinus betulus,Mature,0,0,15.1, ,,,Low,51.49613849,-0.178379749
62,Fraxinus excelsior,Mature,0,0,16.4, ,,,Vulnerable,51.49614589,-0.178364409
63,Fraxinus excelsior,Semi-mature,0,0,22.2, ,,,Vulnerable,51.49615158,-0.178320826
82,Quercus robur,Semi-mature,0,0,17.1,,,,Low,51.4959665,-0.1787952
83,Betula pendula,Mature,0,0,,Has old tag 83,,Yes,Low,51.49598369,-0.178605795
95,Quercus ilex,Mature,0,0,23.8, ,,,High,51.49610734,-0.178337524
101,Betula pendula,Mature,0,0,21.8, ,,,Low,51.49645964,-0.178587313
103,Betula pendula,Mature,0,0,17.1, ,,,Low,51.49640289,-0.178587319
105,Betula pendula,Mature,0,0,21.5, ,,,Low,51.4964057,-0.178533937
109,Betula pendula,Mature,0,0,18.3, ,,,Low,51.49655491,-0.178457686
