"sensor_name","type","lat","lon"
"34 sensor","SENSOR",51.49548,-0.178861
"33","DEVICE",51.495671,-0.178034
"32 sensor","SENSOR",51.495665,-0.177136
"29 sensor","SENSOR",51.495755,-0.177402
"Test 28 Device","DEVICE",51.495719,-0.178035
"27","SENSOR",51.4961,-0.177929
"22 sensor","SENSOR",51.495755,-0.177037
"21","DEVICE",51.495615,-0.178593
"18 sensor","SENSOR",51.495484,-0.178038
"Side of path","DEVICE",51.496,-0.178425
"Wood pile sensor","DEVICE",51.49596,-0.178703
"Wood pile Hill sensor","SENSOR",51.49598,-0.178861
"DC Courtyard Full Sun","DEVICE",51.496614,-0.177942
"West Pond Bottom","SENSOR",51.495774,-0.17836
"Sensir Hill 5","DEVICE",51.49599,-0.178337
"Chalk Grassland Hill","SENSOR",51.495769,-0.177637
"DC Courtyard Olive Grove","SENSOR",51.49655,-0.17807
"a6bbf4b7-d55f-427b-942c-1a740740e11e","SENSOR",51.4958923,-0.1788369
"84696c5c-fe08-4d99-b1e7-6751f1612d6e","SENSOR",51.4954165,-0.1780082
"d62dacac-a0d7-4f1d-a114-55dd77583b9c","SENSOR",51.495332,-0.1777314
