"section","group","lower","central","upper","conf"
"Total species","Mammalia","","6500","45000","H"
"Total species","Nematoda","500000","1000000","100000000","L"
"Total species","Arthropoda","1140000","7000000","30000000","M"
"Total species","Insecta","950000","5000000-5500000","100000000","M"
"Total species","Arachnida","90000","110000","750000","M"
"Total species","Collembola","6500","8700","50000","M"
"Total species","Diplopoda","13000","15000","70000-80000","M"
"Total species","Isoptera","3000","5400","10000","M"
"Total species","Formicidae","10000","15000","21000","M"
"Total species","Oligochaeta","5000","10000","","H"
"Total species","Enchytraeidae","710","780","1200","H"
"Total species","Mollusca","80000","120000","200000","H"
"Total species","Plantae","380000","537000","","H"
"Total species","Microbesk","6700000","1010000000","1000000000000-100000000000000","L"
"Total species","Phage","100000000","100000000000","370000000000","VL"
"Total species","Bacteria","4300000-4500000","1000000000","3700000000","L"
"Total species","Fungi","2200000","6200000","165000000","M"
"Total species","Archaea","11000","190000","380000","L"
"Total species","Protists","60000","100000-300000","84000000-162000000","L"
"Total species","Total","110000000","101000000000","374000000000","L"
"Species in soil","Mammalia","75","250","","H"
"Species in soil","Nematoda","215000","465000","50000000","L"
"Species in soil","Arthropoda","349000","2100000","9200000","M"
"Species in soil","Insecta","288000","1670000","3000000","M"
"Species in soil","Arachnida","43200","50000","350000","M"
"Species in soil","Collembola","5980","8000","8180","M"
"Species in soil","Diplopoda","10000","11500","61500","M"
"Species in soil","Isoptera","2000","4900","9500","M"
"Species in soil","Formicidae","5000","9000","11000","M"
"Species in soil","Oligochaeta","3300","6000","","H"
"Species in soil","Enchytraeidae","700","770","1180","H"
"Species in soil","Mollusca","80","35000","64000","H"
"Species in soil","Plantae","320000","466000","","H"
"Species in soil","Microbesk","6000000","440000000","","L"
"Species in soil","Phage","5600000","9900000000","159000000000","VL"
"Species in soil","Bacteria","950000","430000000","3300000000","L"
"Species in soil","Fungi","2000000","5600000","","M"
"Species in soil","Archaea","1100","36000","190000","L"
"Species in soil","Protists","24000","83000","","L"
"Species in soil","Total","9500000","10400000000","162000000000","L"
