"station_name","lat","lon"
"Visviri Inia",-17.594721,-69.475277
"ABDENNIZI",25.2166666667,5.1166666667
"ADEB LERRACH",27.4,8.8333333333
"ADRAR",27.83718,-0.19364
"AFARA",25.3333333333,7.8
"AIN DEFLA",36.26511,1.94852
"AIN-BESSAM",36.2846,3.68946
"AIN-SEFRA",32.75197,-0.59401
"ALGER PORT",36.77451,3.06243
"AMGUID",26.4166666667,5.3666666667
"ANESBARAKA",19.4333333333,4.65
"ANNABA",36.822222,7.8025
"ARAK",25.2666666667,3.7333333333
"ARZEW",35.81688,-0.26837
"ASSEKREM",23.26116,5.63115
"Assekrem",23.26116,5.63115
"BARAKI",36.6833333333,3.1
"BARIKA",35.34787,5.33993
"BATNA",35.76083,6.31972
"BECHAR",31.65428,-2.25236
"BEJAIA-AEROPORT",36.7166666667,5.0666666667
"BENI OUNIF",32.05138,-1.26527
"BENI-ABBES",30.12846,-2.14953
"BENI-SAF",35.30099,-1.39514
"BIDON 5",22.3166666667,1.1166666667
"BISKRA",34.8,5.7333333333
"BORDJ EL BAHRI",36.7833333333,3.25
"BORDJ HAOUAS",24.8333333333,8.3166666667
"BORDJ-BADJ-MOKHTAR",21.37609,0.93205
"BORDJ-BOU-ARRERIDJ",36.06752,4.79452
"BOU-SAADA",35.3333333333,4.2
"BOUCHEGOUF",36.45821,7.70874
"BOUHAROUN",36.625972,2.656833
"BOUIRA",36.36997,3.89507
"BOUZAREAH",36.7833333333,3
"CHLEF",36.21635,1.3217
"CONSTANTINE",36.2778,6.62832
"Columb-Béchar",31.6299991608,-2.25
"DAR EL BEIDA VILLE",36.7,3.2
"DAR-EL-BEIDA",36.68993,3.21662
"DELLYS",36.89671,3.95527
"DJANET",24.28823,9.46766
"DJELFA",34.65361,3.28138
"EL HARRACH",36.7166666667,3.15
"EL-BAYADH",33.71966,1.09484
"EL-GOLEA",30.57246,2.86803
"EL-KHEITER",34.15444,0.06464
"EL-OUED",33.50618,6.78841
"FADNOUNE",25.8166666667,8.1833333333
"GARADJEBILET",26.75,-7.25
"GHARDAIA",32.38638,3.78361
"GHAZAOUET",35.09807,-1.86335
"GOURAYA",36.57575,1.91316667
"GUELMA",36.45641,7.47944
"HASSI KHEBBI",29.1666666667,-5.2333333333
"HASSI-MESSAOUD",31.65861,6.14138
"HASSIR'MEL",32.93416,3.30333
"ILLIZI",26.71916,8.61722
"IN ATEI",20.5666666667,6.1166666667
"IN AZAOUA",20.9666666667,7.45
"IN AZZANE",23.4833333333,11.2333333333
"IN GUEZZAM",19.5666666667,5.75
"IN ZIZA",23.2166666667,2.5833333333
"IN-AMENAS",28.05294,9.63959
"IN-GUEZZAM",19.5655,5.75412
"IN-SALAH",27.2537,2.51164
"JIJEL- ACHOUAT",36.79472,5.87722
"JIJEL-PORT",36.8166666667,5.8833333333
"KHENCHELLA",35.4666666667,7.0833333333
"KOUBA",36.7166666667,3.1
"KRECHBA",29.07161,2.20815
"KSAR CHELLALA",35.25222,2.29611
"M'SILA",35.65098,4.49813
"MAGHNIA",34.81143,-1.78242
"MASCARA-GHRISS",35.20666,0.1525
"MATRIOUENE",27.8666666667,1.1666666667
"MECHERIA",33.54581,-0.23527
"MEDEA",36.2811,2.73155
"MERTOUTEK",24.2166666667,5.5333333333
"MILA",36.40082,6.32685
"MILIANA",36.30582,2.2284
"MOSTAGANEM",35.91166,0.11027
"MOULAY LAHCEN",24.7166666667,4.65
"NAAMA",33.26108,-0.31744
"ORAN-PORT",35.71055,-0.65305
"ORAN-SENIA",35.63111,-0.60388
"OUALLEN",23.4,1
"OUARGLA",31.93641,5.41178
"OUED KORICHE",36.7833333333,3.0333333333
"OUED TAHAGGARET",21.6833333333,7.1333333333
"OUHANET",28.7,8.9333333333
"OUM EL BOUAGHI",35.8666666667,7.13027
"REGGANE",26.7166666667,-0.1833333333
"REGHAIA",36.7666666667,3.3333333333
"RHOURD NOUSS",29.7352,6.71306
"SAIDA",34.89186,0.15774
"SETIF/AIN ARNAT",36.17538,5.32793972
"SIDI-BEL-ABBES",35.17388,-0.59527
"SKIKDA",36.88178,6.93503
"SOUK AHRAS",36.2975,7.92277
"TABELBALA",29.4166666667,-3.25
"TADANTE",23.0333333333,7.8666666667
"TALMINIE",29.1666666667,-0.3
"TAMANRASSET",22.8253,5.45255
"TAMAZGUIDA",27.3166666667,3.7166666667
"TAOUNDART",20.3833333333,2.4666666667
"TARF",36.75463,8.07933
"TEBESSA",35.42861,8.11527
"TEGUENTOUR",28.4666666667,2.5166666667
"TENES",36.51415,1.30711
"TESSALA EL MERDJA",36.6166666667,2.9166666667
"TIARET",35.34542,1.46792
"TIMIAOUINE",20.4166666667,1.8
"TIMIMOUN",29.24412,0.28385
"TIN ZAOUATENE",19.9666666667,2.9833333333
"TINALKOUN",24.6,10.2166666667
"TINDOUF",27.7041,-8.1692
"TINFOUYE",28.43679,7.55148
"TINTARABINE",23.1833333333,6.7666666667
"TIREK",21.5666666667,2.5833333333
"TIRIRINE",22.05,8.5833333333
"TIZI-OUZOU",36.72421,4.01861
"TLEMCEN-ZENATA",35.01888,-1.44472
"TOUGGOURT",33.07011,6.09208
"Tamanrasset",22.7833328247,5.5166668892
"BAIA DOS TIGRES",-16.6,11.7166666667
"BENGUELA",-12.605117,13.403374
"BENGUELA",-12.605117,13.403374
"BENTIABA",-14.2819,12.3763
"BIBALA",-14.748226,13.30915
"BIE_LUTCHIMUE",-12.5699,16.757304
"BIE_SILVA_PORTO",-12.400859,16.951773
"BUCO_ZAU",-4.762623,12.537902
"CABINDA",-5.60582,12.18763
"CACUSO_SEDE",-9.442396,15.746643
"CAHAMA",-16.287883,14.312481
"CAMABATELA",-8.279031,15.519605
"CAMAMA",-8.96,13.2556
"CAMANONGUE",-11.279496,20.231644
"CAMAXILO",-8.3666666667,18.9333333333
"CAMISSOMBO",-8.154943,20.655382
"CATUMBELA",-12.49391,13.4902
"CAXITO",-8.555611,13.664172
"CAZOMBO",-11.894838,22.914139
"CELA",-11.1166,15.0166
"CELA_BAMBUCA",-11.120468,15.017514
"CELA_EEAC",-11.281589,14.997238
"CHICOMBA",-14.142,14.9109
"CHIPIPA",-12.559479,15.739413
"CHITEMBO",-13.516675,16.755383
"CHIULO",-16.5331,14.8667
"CUCHI",-14.653498,16.899107
"DUNDO",-7.392786,20.822374
"EHAFO",-16.629166,15.791666
"FUNDA",-8.839556,13.495444
"GABELA",-10.861794,14.3591
"GAMBOS",-15.731806,13.891116
"HUAMBO_NOVA_LISBOA",-12.80262,15.74959
"HUMPATA_EEAH",-15.0499,13.3925
"LANDANA",-5.257,12.1531
"LOBITO",-12.370736,13.537145
"LOBITO_CULANGO",-12.310617,13.835176
"LOBITO_FANA",-12.3707,13.5371
"LUANDA",-8.84806,13.23528
"LUBANGO_SA_DA_BANDEIRA",-14.92868,13.57091
"LUENA_LUSO",-11.76841,19.89802
"LUMEGE_CAMEIA",-11.555597,20.784792
"MALANGE",-9.527737,16.318939
"MAPUNDA",-14.9057,13.4483
"MAQUELA_DO_ZOMBO",-6.030886,15.137457
"MAVINGA",-15.8333333333,20.35
"MBANZA CONGO",-6.2666666667,14.25
"MENONGUE_SERPA_PINTO",-14.657266,17.714595
"MINA_DO_LUAXE",-9.54238,20.15737
"MOCAMEDES",-15.256722,12.153485
"MONGUA",-16.725509,15.353899
"MUKOLONGODJO",-15.66806,15.80306
"MUPA",-16.133888,15.746388
"N'ZETO (AMBRIZETE)",-7.2333333333,12.8666666667
"NBANZA-KONGO",-6.2666666667,14.25
"NDALATANDO",-9.30663,14.90497
"NDALATANDO",-9.30663,14.90497
"NEGAGE",-7.763738,15.294156
"NEGAGE",-7.763738,15.294156
"NEGAGE_CESSE",-7.818354,15.330536
"NOQUI",-5.8666666667,13.4333333333
"OIHOLE",-17.333861,15.961888
"OMUVANDJA",-16.6372,16.0394
"ONCÓCUA/CUROCA",-16.655636,13.422742
"ONDJIVA_AEROPORTO",-17.048,15.68949
"PEREIRA DE ECA",-17.048,15.6894
"PORTO AMBOIM",-10.7,13.75
"QUIMINHA",-9.05535,13.755722
"ROCADAS",-16.7166666667,15
"SAMBA_CAJU",-8.749615,15.416156
"SAURIMO_HENRIQUE_DE_CARVALHO",-9.688737,20.424995
"SUMBE",-11.171454,13.845379
"TOMBUA",-15.797554,11.877233
"TOTO",-7.1666666667,14.2666666667
"UIGE",-7.6036,15.0291
"WAKU KUNGU (CELA)",-11.4166666667,15.1166666667
"ZANGO",-9.076019,13.422231
"BOHICON",7.1666666667,2.0666666667
"BOHICON",7.203065,2.056804
"COTONOU",6.35,2.3833333333
"COTONOU",6.35,2.3833333333
"Cotonou",6.2100000381,2.2300000191
"Djougou",9.65,1.733333
"KANDI",11.1333333333,2.9333333333
"KANDI",11.1333,2.9333
